2   O=C(N1[C@@H](CCC1)C(=O)NNC(=O)N)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)COC(C)(C)C)CC(C)C)CCCN=C(N)N	[NO NAME]

3   NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H]1NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CCSSC1)Cc1ccc(cc1)O)CC(=O)N)CCCNC(=N)N	[NO NAME]

4   c12c(cccc1)ccc(c2)C[C@@H](NC(=O)C)C(=O)N[C@@H](C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@@H](C(=O)N)C)CCC1)CCCNC(=N)N)CCCNC(=O)N)CO)Cc1ccc(cc1)Cl	[NO NAME]

8   C12=C(C3=[N]4C(=CC5=[N]6C(=C(C7=[N]8[C@]([C@@]([C@@H]7CCC(=O)N)(C)CC(=O)N)([C@@H]7N1[Co]468(n1c4cc(C)c(cc4n(c1)[C@H]1O[C@H](CO)[C@H]([C@H]1O)OP(=O)(O)O[C@@H](CNC(=O)CC[C@@]2([C@H]7CC(=O)N)C)C)C)C#N)C)C)[C@@]([C@@H]5CCC(=O)N)(C)CC(=O)N)C([C@@H]3CCC(=O)N)(C)C)C	

23   P(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)(O)O	131

35   P(=O)(OC[C@H](OC(=O)CCC)COC(=O)CC)(OC[C@H](N)C(=O)O)O	6323481

60   Nc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@@H](O)[C@H]1O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O	

70   Clc1ccc(C(CC(=O)O)CN)cc1	181

75   Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1c(Cl)cccc1	186

78   C(C(C=CCl)(C#C)O)C	

88   C12=C(C3=[N]4C(=CC5=[N]6C(=C(C7=[N]8[C@]([C@@H]9N1[Co+]468(n1c4cc(C)c(cc4n(c1)[C@H]1O[C@H](CO)[C@H]([C@H]1O)OP(=O)(O[C@@H](CNC(=O)CC[C@]2(C)[C@H]9CC(=O)N)C)[O-])C)O)(C)[C@]([C@@H]7CCC(=O)N)(CC(=O)N)C)C)[C@@]([C@@H]5CCC(=O)N)(C)CC(=O)N)C([C@@H]3CCC(=O)N)(C)C)C	

93   Clc1ccc(c2c(nc(nc2N)N)CC)cc1	205

96   Clc1c(CN2CCc3sccc3C2)cccc1	208

113   C1CN23CCN45CC(=[O][Gd+3]6734([O-]C(=O)C2)(N1(CC(=O)[O-]6)CC(=[O]7)NC)[O-]C(=O)C5)NC	

116   ClC(F)C(F)(F)OC(F)F	228

119   Clc1cc2c(N(C(=O)C(O)N=C2c2ccccc2)C)cc1	231

120   ClCC1N(S(=O)(=O)c2c(N1)cc(Cl)c(S(=O)(=O)N)c2)C	232

124   BrCCC(=O)N1CCN(CC1)C(=O)CCBr	236

127   c1(ccc(cc1Cl)Cl)CO/N=C(/c1c(cc(cc1)Cl)Cl)\Cn1cncc1	

128   C1=C[C@]2(C(=CC1=O)C[C@H]([C@@H]1[C@@H]2[C@H](C[C@]2([C@H]1C[C@H]([C@@]2(C(=O)CO)O)C)C)O)Cl)C	

130   Clc1nc2n([C@@H]3O[C@@H]([C@@H](O)C3)CO)cnc2c(n1)N	242

134   Clc1c(CCN2CCN(CC2)c2nsc3c2cccc3)cc2c(NC(=O)C2)c1	246

137   Ic1cn([C@@H]2O[C@@H]([C@@H](O)C2)CO)c(=O)[nH]c1=O	249

139   Clc1c([C@@]2(O[C@H](CO2)COc2ccc(N3CCN(CC3)C(C)C)cc2)Cn2ncnc2)ccc(Cl)c1	251

145   Clc1c(C(n2ccnc2)(c2ccccc2)c2ccccc2)cccc1	257

146   [Ca+2].[O-]C(=O)C.[O-]C(=O)C	6116

149   C12=Nc3c(CN1CC(=O)N2)c(c(cc3)Cl)Cl	

150   ClCCN(N=O)C(=O)NCCCl	262

158   Ic1c(NC(=O)C)c(I)c(c(I)c1NC(=O)C)C(=O)O	2140

166   Ic1cc(C[C@H](N)C(=O)O)cc(I)c1Oc1cc(I)c(O)cc1	279

169   P(=O)(O)(O)C(P(=O)(O)O)(O)CCN	282

170   Clc1ccc([C@](OCC[C@@H]2N(CCC2)C)(c2ccccc2)C)cc1	26987

171   [C@H]1([C@H](O[C@@H]([C@@H]([C@H]1O)O)O[C@@H]1[C@H](O[C@H]([C@@H]([C@H]1O)O)O)CO)CO)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C)N[C@H]1C=C([C@@H]([C@@H]([C@H]1O)O)O)CO)O)O	ChEBI

